WD13CD,Ward name,Borough name,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage of households with access to:
E05000228,Thamesmead Moorings,Greenwich,88.5,50.7,6.8,24.5,0.0,
E05000229,Woolwich Common,Greenwich,95.2,30.2,84.7,0.0,0.0,
E05000230,Woolwich Riverside,Greenwich,93.1,25.2,19.5,0.0,0.0,
E05000231,Brownswood,Hackney,99.6,5.9,99.6,100.0,100.0,
E05000232,Cazenove,Hackney,98.9,0.0,28.7,22.8,100.0,
E05000233,Chatham,Hackney,88.9,24.1,64.9,100.0,100.0,
E05000234,Clissold,Hackney,89.1,39.8,99.7,91.8,100.0,
E05000235,Dalston,Hackney,100.0,26.1,95.3,29.3,100.0,
E05000236,De Beauvoir,Hackney,90.2,44.5,42.2,33.6,100.0,
E05000237,Hackney Central,Hackney,98.5,0.7,100.0,92.1,100.0,
E05000238,Hackney Downs,Hackney,99.8,1.2,100.0,14.0,100.0,
E05000239,Haggerston,Hackney,93.0,23.3,81.2,80.7,92.8,
E05000240,Hoxton,Hackney,99.2,47.4,11.7,6.7,64.1,
E05000241,King's Park,Hackney,90.8,61.3,3.3,100.0,100.0,
E05000242,Leabridge,Hackney,44.3,0.0,67.7,45.0,100.0,
E05000243,Lordship,Hackney,72.6,0.0,77.6,100.0,100.0,
E05000244,New River,Hackney,82.7,8.1,12.6,99.7,100.0,
E05000245,Queensbridge,Hackney,95.3,27.3,100.0,100.0,100.0,
E05000246,Springfield,Hackney,73.8,2.6,0.2,9.4,100.0,
E05000247,Stoke Newington Central,Hackney,97.1,33.7,100.0,17.3,100.0,
E05000248,Victoria,Hackney,87.7,32.6,98.5,100.0,100.0,
E05000249,Wick,Hackney,95.5,60.7,15.9,100.0,100.0,
E05000250,Addison,Hammersmith and Fulham,45.8,55.5,23.7,46.2,0.0,
E05000251,Askew,Hammersmith and Fulham,10.6,36.1,90.8,72.7,0.0,
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,31.2,60.8,17.2,24.9,0.1,
E05000253,College Park and Old Oak,Hammersmith and Fulham,26.2,31.4,0.0,100.0,0.0,
E05000254,Fulham Broadway,Hammersmith and Fulham,12.4,37.3,7.3,0.9,99.5,
E05000255,Fulham Reach,Hammersmith and Fulham,75.3,42.6,2.7,0.0,99.7,
E05000256,Hammersmith Broadway,Hammersmith and Fulham,30.9,25.0,74.9,24.9,24.8,
E05000257,Munster,Hammersmith and Fulham,40.2,14.4,93.3,28.7,100.0,
E05000258,North End,Hammersmith and Fulham,33.5,57.9,0.0,0.7,85.4,
E05000259,Palace Riverside,Hammersmith and Fulham,75.2,61.5,100.0,36.1,100.0,
E05000260,Parsons Green and Walham,Hammersmith and Fulham,4.8,86.2,19.0,69.0,100.0,
E05000261,Ravenscourt Park,Hammersmith and Fulham,7.5,17.5,93.3,80.6,0.2,
E05000262,Sands End,Hammersmith and Fulham,31.6,35.9,0.2,99.3,100.0,
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,26.1,86.2,46.1,91.3,0.0,
E05000264,Town,Hammersmith and Fulham,11.0,19.0,80.7,40.8,100.0,
E05000265,Wormholt and White City,Hammersmith and Fulham,10.7,81.4,23.9,100.0,0.0,
E05000266,Alexandra,Haringey,27.9,28.5,6.8,100.0,0.0,
E05000267,Bounds Green,Haringey,94.4,60.5,10.8,95.5,1.0,
E05000268,Bruce Grove,Haringey,62.8,34.6,83.2,1.1,100.0,
E05000269,Crouch End,Haringey,73.4,30.1,16.1,100.0,9.7,
E05000270,Fortis Green,Haringey,41.8,61.9,50.1,100.0,0.0,
E05000271,Harringay,Haringey,79.1,34.3,3.0,100.0,100.0,
E05000272,Highgate,Haringey,91.0,26.2,88.0,100.0,0.0,
E05000273,Hornsey,Haringey,58.8,29.8,0.0,100.0,40.0,
E05000274,Muswell Hill,Haringey,77.3,41.3,68.6,100.0,0.0,
E05000275,Noel Park,Haringey,53.4,27.0,43.7,100.0,98.7,
E05000276,Northumberland Park,Haringey,93.1,24.6,39.8,0.0,100.0,
E05000277,St. Ann's,Haringey,52.2,53.0,31.6,100.0,100.0,
E05000278,Seven Sisters,Haringey,83.6,57.0,0.0,83.3,100.0,
E05000279,Stroud Green,Haringey,66.9,23.3,0.0,100.0,100.0,
E05000280,Tottenham Green,Haringey,81.6,41.6,37.0,33.5,100.0,
E05000281,Tottenham Hale,Haringey,56.5,36.9,38.2,0.0,100.0,
E05000282,West Green,Haringey,74.1,65.6,97.6,66.0,100.0,
E05000283,White Hart Lane,Haringey,82.1,32.3,65.3,6.3,100.0,
E05000284,Woodside,Haringey,56.7,68.2,33.8,99.4,82.3,
E05000285,Belmont,Harrow,67.8,20.7,18.9,0.0,0.0,
E05000286,Canons,Harrow,83.4,15.7,77.6,0.0,0.0,
E05000287,Edgware,Harrow,83.9,44.3,32.0,7.0,0.0,
E05000288,Greenhill,Harrow,77.0,9.5,83.4,0.0,0.0,
E05000289,Harrow on the Hill,Harrow,79.8,13.9,31.4,24.2,0.0,
E05000290,Harrow Weald,Harrow,75.4,28.5,1.2,0.0,0.0,
E05000291,Hatch End,Harrow,76.1,0.0,5.1,0.0,0.0,
E05000292,Headstone North,Harrow,87.2,6.2,61.7,0.0,0.0,
E05000293,Headstone South,Harrow,49.8,0.0,99.7,0.0,0.0,
E05000294,Kenton East,Harrow,44.5,32.2,0.0,67.5,0.0,
E05000295,Kenton West,Harrow,64.5,44.7,8.3,3.0,0.0,
E05000296,Marlborough,Harrow,49.4,32.8,47.0,0.0,0.0,
E05000297,Pinner,Harrow,76.5,10.9,0.2,10.1,0.0,
E05000298,Pinner South,Harrow,76.7,67.5,0.4,22.5,0.0,
E05000299,Queensbury,Harrow,55.9,30.3,0.8,23.0,0.0,
E05000300,Rayners Lane,Harrow,75.7,24.0,53.9,0.0,0.0,
E05000301,Roxbourne,Harrow,89.5,21.1,47.4,0.0,0.0,
E05000302,Roxeth,Harrow,78.6,44.9,49.8,16.3,0.0,
E05000303,Stanmore Park,Harrow,82.3,17.7,13.1,0.0,0.0,
E05000304,Wealdstone,Harrow,68.2,1.8,1.6,0.0,0.0,
E05000305,West Harrow,Harrow,79.2,28.1,52.7,0.0,0.0,
E05000306,Brooklands,Havering,66.0,15.6,20.8,32.3,0.0,
E05000307,Cranham,Havering,52.0,23.5,73.7,0.0,0.0,
E05000308,Elm Park,Havering,51.3,7.6,47.3,100.0,0.0,
E05000309,Emerson Park,Havering,40.3,14.1,9.8,0.0,0.0,
E05000310,Gooshays,Havering,96.3,31.8,96.6,46.7,0.0,
E05000311,Hacton,Havering,77.6,0.0,0.0,87.6,0.0,
E05000312,Harold Wood,Havering,84.9,0.0,61.8,0.1,0.0,
E05000313,Havering Park,Havering,72.8,10.4,0.0,100.0,0.0,
E05000314,Heaton,Havering,69.9,1.3,16.6,78.8,0.0,
E05000315,Hylands,Havering,78.3,14.7,40.3,52.2,0.0,
E05000316,Mawneys,Havering,73.4,30.3,0.0,56.6,0.0,
E05000317,Pettits,Havering,55.5,38.9,0.0,80.3,0.0,
E05000318,Rainham and Wennington,Havering,59.9,38.4,0.0,0.9,0.0,
E05000319,Romford Town,Havering,51.8,33.3,0.0,19.9,0.0,
E05000320,St. Andrew's,Havering,73.4,11.4,5.0,51.1,0.0,
E05000321,South Hornchurch,Havering,72.3,43.4,35.9,99.5,0.0,
E05000322,Squirrel's Heath,Havering,54.4,11.6,3.9,0.0,0.0,
E05000323,Upminster,Havering,48.4,17.0,2.5,4.9,0.0,
E05000324,Barnhill,Hillingdon,15.4,32.8,26.6,100.0,0.0,
E05000325,Botwell,Hillingdon,27.0,33.3,85.2,41.7,0.0,
E05000326,Brunel,Hillingdon,55.4,14.1,64.9,1.0,0.0,
E05000327,Cavendish,Hillingdon,42.5,14.6,79.6,18.5,0.0,
E05000328,Charville,Hillingdon,4.2,31.0,24.9,98.3,0.0,
E05000329,Eastcote and East Ruislip,Hillingdon,33.9,51.2,1.5,94.7,0.0,
E05000330,Harefield,Hillingdon,30.9,6.8,38.5,41.6,0.0,
E05000331,Heathrow Villages,Hillingdon,6.6,41.5,22.4,47.5,0.0,
E05000332,Hillingdon East,Hillingdon,15.7,29.0,90.5,0.8,0.0,
E05000333,Ickenham,Hillingdon,14.8,15.0,92.4,0.0,0.0,
E05000334,Manor,Hillingdon,16.0,13.0,83.3,66.1,0.0,
E05000335,Northwood,Hillingdon,0.0,22.1,1.0,78.0,0.0,
E05000336,Northwood Hills,Hillingdon,18.9,45.7,0.0,88.4,0.0,
E05000337,Pinkwell,Hillingdon,2.3,41.5,56.2,0.0,0.0,
E05000338,South Ruislip,Hillingdon,21.9,34.3,85.6,15.3,0.0,
E05000339,Townfield,Hillingdon,21.8,38.9,71.0,87.9,0.0,
E05000340,Uxbridge North,Hillingdon,37.4,14.8,95.2,0.0,0.0,
E05000341,Uxbridge South,Hillingdon,52.3,49.7,27.3,0.0,0.0,
E05000342,West Drayton,Hillingdon,24.4,19.9,19.1,17.2,0.0,
E05000343,West Ruislip,Hillingdon,45.6,18.3,40.6,80.9,0.0,
E05000344,Yeading,Hillingdon,30.6,21.5,26.3,100.0,0.0,
E05000345,Yiewsley,Hillingdon,52.7,45.1,22.5,0.0,0.0,
E05000346,Bedfont,Hounslow,73.9,14.9,22.0,93.9,0.0,
E05000347,Brentford,Hounslow,38.7,31.3,43.0,99.8,23.1,
E05000348,Chiswick Homefields,Hounslow,17.7,64.9,57.2,100.0,49.2,
E05000349,Chiswick Riverside,Hounslow,45.1,30.0,21.1,100.0,100.0,
E05000350,Cranford,Hounslow,3.8,52.9,40.2,52.2,0.0,
E05000351,Feltham North,Hounslow,51.3,51.3,69.7,85.7,0.0,
E05000352,Feltham West,Hounslow,71.0,59.8,33.2,48.1,0.0,
E05000353,Hanworth,Hounslow,20.0,51.3,84.6,50.0,0.0,
E05000354,Hanworth Park,Hounslow,38.4,53.2,86.0,36.7,0.0,
E05000355,Heston Central,Hounslow,0.3,46.3,61.6,100.0,0.0,
E05000356,Heston East,Hounslow,14.8,65.1,42.9,100.0,0.0,
E05000357,Heston West,Hounslow,31.9,46.3,20.1,77.5,0.0,
E05000358,Hounslow Central,Hounslow,0.0,64.5,61.0,100.0,0.0,
E05000359,Hounslow Heath,Hounslow,0.9,0.6,31.0,100.0,0.0,
E05000360,Hounslow South,Hounslow,21.5,29.8,10.1,72.7,6.1,
E05000361,Hounslow West,Hounslow,2.2,19.2,54.4,100.0,0.0,
E05000362,Isleworth,Hounslow,55.5,47.5,91.8,87.8,85.8,
E05000363,Osterley and Spring Grove,Hounslow,10.8,27.8,4.1,100.0,0.0,
E05000364,Syon,Hounslow,54.6,35.9,30.2,100.0,11.9,
E05000365,Turnham Green,Hounslow,2.4,49.3,0.4,100.0,47.0,
E05000366,Barnsbury,Islington,99.8,79.3,0.0,0.6,16.8,
E05000367,Bunhill,Islington,97.4,52.6,0.0,0.0,0.0,
E05000368,Caledonian,Islington,98.2,44.8,0.0,24.7,0.0,
E05000369,Canonbury,Islington,99.1,58.6,0.0,0.5,100.0,
E05000370,Clerkenwell,Islington,99.3,54.6,0.0,0.2,0.0,
E05000371,Finsbury Park,Islington,96.7,32.2,0.1,100.0,96.9,
E05000372,Highbury East,Islington,85.7,44.2,59.4,95.7,100.0,
E05000373,Highbury West,Islington,67.7,59.1,45.5,100.0,98.2,
E05000374,Hillrise,Islington,100.0,63.2,0.0,100.0,4.9,
E05000375,Holloway,Islington,96.9,75.5,0.0,72.7,8.3,
E05000376,Junction,Islington,79.0,68.2,0.0,100.0,0.0,
E05000377,Mildmay,Islington,100.0,4.2,50.5,44.0,100.0,
E05000378,St. George's,Islington,84.6,61.5,0.0,100.0,1.3,
E05000379,St. Mary's,Islington,99.7,93.2,0.0,7.0,85.7,
E05000380,St. Peter's,Islington,100.0,67.6,0.0,0.0,61.1,
E05000381,Tollington,Islington,98.9,79.0,0.0,100.0,51.9,
E05000382,Abingdon,Kensington and Chelsea,16.1,85.1,100.0,100.0,0.0,
E05000383,Brompton,Kensington and Chelsea,35.9,82.2,18.0,100.0,0.0,
E05000384,Campden,Kensington and Chelsea,18.5,77.1,98.8,100.0,0.0,
E05000385,Colville,Kensington and Chelsea,76.6,100.0,16.6,100.0,0.0,
E05000386,Courtfield,Kensington and Chelsea,54.0,85.2,19.6,100.0,0.0,
E05000387,Cremorne,Kensington and Chelsea,95.7,76.7,0.0,100.0,55.6,
